CD_PROV_REFNIS,CD_AGE,MS_POPULATION
50000,87,5023
50000,88,4126
50000,89,3545
50000,90,3113
50000,91,2440
50000,92,2101
50000,93,1636
50000,94,1167
50000,95,910
50000,96,679
50000,97,467
50000,98,218
50000,99,98
50000,100,171
60000,0,11670
60000,1,11914
60000,2,11904
60000,3,12409
60000,4,12412
60000,5,12856
60000,6,13054
60000,7,13203
60000,8,13097
60000,9,13140
60000,10,12635
60000,11,12915
60000,12,12625
60000,13,12429
60000,14,12486
60000,15,12467
60000,16,12930
60000,17,13004
60000,18,12882
60000,19,12898
60000,20,13075
60000,21,13329
60000,22,13271
60000,23,13488
60000,24,13983
60000,25,14345
60000,26,14870
60000,27,14916
60000,28,14638
60000,29,14804
60000,30,14411
60000,31,14287
60000,32,14048
60000,33,13980
60000,34,13604
60000,35,14034
60000,36,14145
60000,37,14158
60000,38,13840
60000,39,13546
60000,40,13353
60000,41,13842
60000,42,13640
60000,43,14163
60000,44,14602
60000,45,14888
60000,46,15068
60000,47,15029
60000,48,14861
60000,49,14968
60000,50,14960
60000,51,15350
60000,52,15713
60000,53,16192
60000,54,15767
60000,55,15117
60000,56,15275
60000,57,15208
60000,58,15179
60000,59,14859
60000,60,14654
60000,61,14001
60000,62,13901
60000,63,13595
60000,64,13196
60000,65,12788
60000,66,12508
60000,67,12760
60000,68,12057
60000,69,12170
60000,70,11748
60000,71,11325
60000,72,8609
60000,73,8488
60000,74,7791
60000,75,7172
60000,76,6466
60000,77,7230
60000,78,7434
60000,79,7122
60000,80,6418
60000,81,6036
60000,82,5668
60000,83,5474
60000,84,5227
60000,85,5033
60000,86,4544
60000,87,4023
60000,88,3429
60000,89,2805
60000,90,2341
60000,91,1978
60000,92,1594
60000,93,1225
60000,94,869
60000,95,692
60000,96,469
60000,97,340
60000,98,211
60000,99,70
60000,100,129
70000,0,7997
70000,1,8394
70000,2,8444
70000,3,8822
70000,4,8879
70000,5,9246
70000,6,9518
70000,7,9559
70000,8,9503
70000,9,9579
70000,10,9428
70000,11,9151
70000,12,8946
70000,13,8938
70000,14,8548
70000,15,8732
70000,16,8877
70000,17,9021
70000,18,9062
70000,19,9033
70000,20,9526
70000,21,9364
70000,22,9493
70000,23,9493
70000,24,10072
70000,25,10348
70000,26,10533
70000,27,10403
70000,28,10196
70000,29,10157
70000,30,10096
70000,31,10339
70000,32,10353
70000,33,10508
70000,34,10804
70000,35,11377
70000,36,11751
70000,37,11554
70000,38,11854
70000,39,11471
70000,40,11434
70000,41,11031
70000,42,10444
70000,43,10910
70000,44,10914
70000,45,11475
70000,46,11664
70000,47,12365
70000,48,12406
70000,49,12290
70000,50,12661
70000,51,13191
70000,52,13482
70000,53,14051
70000,54,13818
70000,55,13788
70000,56,13629
70000,57,13402
70000,58,13519
70000,59,13074
70000,60,12650
70000,61,12090
70000,62,12067
70000,63,11734
70000,64,11317
70000,65,11095
70000,66,10535
70000,67,10220
70000,68,10018
70000,69,9848
70000,70,9297
70000,71,8837
70000,72,8006
70000,73,7406
70000,74,7235
70000,75,6517
70000,76,5776
70000,77,6330
70000,78,6511
70000,79,6463
70000,80,6023
70000,81,5433
70000,82,5083
70000,83,4840
70000,84,4337
70000,85,4069
70000,86,3497
70000,87,3167
70000,88,2556
70000,89,2190
70000,90,1779
70000,91,1361
70000,92,1086
70000,93,848
70000,94,643
70000,95,415
70000,96,276
70000,97,186
70000,98,104
70000,99,39
70000,100,79
80000,0,2985
80000,1,2981
80000,2,3192
80000,3,3265
80000,4,3363
80000,5,3482
80000,6,3455
80000,7,3563
80000,8,3497
80000,9,3606
80000,10,3616
80000,11,3619
80000,12,3598
80000,13,3643
80000,14,3524
80000,15,3579
80000,16,3599
80000,17,3823
80000,18,3511
80000,19,3576
80000,20,3568
80000,21,3552
80000,22,3475
80000,23,3380
80000,24,3651
80000,25,3809
80000,26,3717
80000,27,3661
80000,28,3723
80000,29,3770
80000,30,3743
80000,31,3737
80000,32,3484
80000,33,3561
80000,34,3408
80000,35,3619
80000,36,3645
80000,37,3654
80000,38,3592
80000,39,3520
80000,40,3680
80000,41,3544
80000,42,3773
80000,43,3753
80000,44,3934
80000,45,3998
80000,46,4050
80000,47,3911
80000,48,3913
80000,49,3788
80000,50,3827
80000,51,3902
80000,52,4110
80000,53,4159
80000,54,3986
80000,55,3818
80000,56,3982
80000,57,3748
80000,58,3828
80000,59,3617
80000,60,3541
80000,61,3368
80000,62,3264
80000,63,3253
80000,64,3139
80000,65,3159
80000,66,2862
80000,67,2799
80000,68,2801
80000,69,2885
80000,70,2803
80000,71,2607
80000,72,1902
80000,73,1878
80000,74,1704
80000,75,1607
80000,76,1367
80000,77,1513
80000,78,1727
80000,79,1624
80000,80,1593
80000,81,1423
80000,82,1396
80000,83,1376
80000,84,1270
80000,85,1135
80000,86,1133
80000,87,1027
80000,88,789
80000,89,743
80000,90,577
80000,91,523
80000,92,382
80000,93,286
80000,94,227
80000,95,196
80000,96,103
80000,97,91
80000,98,29
80000,99,23
80000,100,35
90000,0,4835
90000,1,5090
90000,2,5226
90000,3,5327
90000,4,5521
90000,5,5615
90000,6,5753
90000,7,5747
90000,8,5804
90000,9,5799
90000,10,5878
90000,11,5892
90000,12,5749
