id,province,population,x_coord,y_coord,latitude,longitude,name
44020,4,12769,101496.70839285699,180023.184642857,50.921140075,3.666745225,GAVERE
44021,4,260341,104032.04041450801,194183.700595855,51.050978484455996,3.72126410777202,GENT
44029,4,8236,85589.2357142857,203280.188571429,51.13893441428571,3.4127717571428597,KNESSELARE
44034,4,22300,114380.6727,198905.6351,51.0998049,3.8633987160000003,LOCHRISTI
44036,4,9574,98198.51,198637.468181818,51.0922852818182,3.61860521818182,LOVENDEGEM
44040,4,11574,109885.306071429,187836.85714285698,50.999338728571395,3.79966655,MELLE
44043,4,24634,105982.441785714,185534.49392857103,50.983430835714294,3.7072665035714305,MERELBEKE
44045,4,6455,120888.35333333301,208890.555833333,51.17346920000001,3.9342837,MOERBEKE
44048,4,11574,97507.9823529412,183198.254705882,50.94995339411761,3.63606598823529,NAZARETH
44049,4,12179,93003.18796296301,194298.487592593,51.0526475333333,3.55414694814815,NEVELE
44052,4,13546,109714.994807692,181365.515384615,50.941615280769206,3.7958249576923104,OOSTERZELE
44064,4,8468,97501.9933333333,189281.11633333302,51.00907072,3.62158326,SINT-MARTENS-LATEM
44072,4,7967,96946.2583333333,204508.130333333,51.15148189999999,3.6060488,WAARSCHOOT
44073,4,7683,115025.415384615,207862.160769231,51.17095,3.86055,WACHTEBEKE
44080,4,8466,93353.94307692311,202204.497692308,51.1268390615385,3.55547008461538,ZOMERGEM
44081,4,15720,86859.1190476191,180994.790952381,50.9383049238095,3.4648047809523796,ZULTE
45017,4,8086,90819.7157142857,177506.032380952,50.8996273285714,3.5289718714285696,KRUISHOUTEM
45035,4,31132,96897.9726785714,171516.72375,50.86700172678571,3.56625518571429,OUDENAARDE
45041,4,26337,96552.3957894737,160152.343684211,50.750536700000005,3.6005095000000003,RONSE
45057,4,7552,97610.6533333333,177773.431666667,50.8984487333333,3.6242890416666698,ZINGEM
45059,4,14781,107019.59228571401,166487.512285714,50.8088083685714,3.7653953942857097,BRAKEL-NEDERBRAKEL
45060,4,6453,89819.1111111111,163762.383333333,50.806182505555604,3.5154086222222203,KLUISBERGEN-RUIEN
45061,4,6440,91221.6723529412,171104.139411765,50.83026537058821,3.53211275882353,WORTEGEM-PETEGEM-PETEGEM-AAN-DE-SCHELDE
45062,4,2048,102348.994285714,169406.882857143,50.8387574285714,3.6935193142857097,HOREBEKE
45063,4,6567,112907.195789474,166475.16736842098,50.807144431578905,3.83856895789474,LIERDE
45064,4,6338,98348.1455555556,165184.636111111,50.8022757722222,3.6026930777777797,MAARKEDAL-ETIKHOVE
45065,4,8134,104510.613709677,174558.329354839,50.8820209806452,3.71647206451613,ZWALM-MUNKZWALM
46003,4,48192,140583.431639344,213636.579180328,51.2322929,4.23745185901639,BEVEREN
46013,4,16657,145125.530526316,204858.399473684,51.153016673684206,4.30254416315789,KRUIBEKE
46014,4,41438,122514.305769231,199999.765,51.0869985076923,4.02281028653846,LOKEREN
46020,4,19273,132199.630405405,213294.663378378,51.2249443108108,4.12049485135135,SINT
46021,4,76756,133537.396408451,206051.679295775,51.1560110873239,4.13330128169014,SINT-NIKLAAS
46024,4,18352,126905.33833333301,211303.859270833,51.206352303125,4.04849913125,STEKENE
46025,4,29528,138474.538194444,202130.58305555602,51.122662908333304,4.20754554444444,TEMSE
51004,5,29164,107653.55419540199,147288.527298851,50.6338264839081,3.77263843793103,ATH
51008,5,14032,101130.947159091,135976.984090909,50.5352467340909,3.6776382363636406,BELOEIL
51009,5,11868,101408.23217391301,130156.31739130401,50.47667520869571,3.6746510826087,BERNISSART
51012,5,3658,114108.82526315801,143566.95605263198,50.6012826157895,3.85940227368421,BRUGELETTE
51014,5,6899,108340.78203703699,140233.990740741,50.5698843888889,3.81115236666667,CHIEVRES
51017,5,6001,102520.76411764699,157294.217647059,50.72330907058821,3.7036021529411807,ELLEZELLES
51019,5,3420,104857.419444444,160502.409444444,50.7367,3.73852,FLOBECQ
51065,5,11740,95259.57100961539,152466.54,50.6791260634615,3.59098534038462,FRASNES
52010,5,14900,144038.60296296302,128437.425555556,50.465069266666696,4.2842834037037,CHAPELLE-LEZ-HERLAIMONT
52011,5,201816,154684.327237927,123108.904358068,50.4186106936396,4.43134539469965,CHARLEROI
52012,5,36101,160654.673695652,121596.89293478301,50.4097573391304,4.52296956304348,CHATELET
52015,5,31376,148869.023454545,128162.04400000001,50.4658047945455,4.35681621636364,COURCELLES
52018,5,11247,162449.17263157901,124876.758421053,50.4302078210526,4.54096804210526,FARCIENNES
52021,5,22738,162405.715636364,129719.90709090901,50.486093405454504,4.551166501818179,FLEURUS
52022,5,17801,146847.301860465,122607.050465116,50.415321999999996,4.32742430232558,FONTAINE-L'EVEQUE
52025,5,12660,160906.554615385,115647.275128205,50.349000143589706,4.52226588205128,GERPINNES
52043,5,23122,140401.470789474,131137.29868421098,50.4953073526316,4.23358305,MANAGE
52048,5,10136,150325.252857143,118409.29380952401,50.380403,4.36830114285714,MONTIGNY-LE-TILLEUL
52055,5,17287,151251.077948718,133146.726923077,50.511728446153796,4.377919012820509,PONT-A-CELLES
52063,5,11272,142510.14633333302,137015.689333333,50.54840871,4.26114209333333,SENEFFE
52074,5,10788,164541.057586207,122170.239310345,50.4211246586207,4.573391251724139,AISEAU
52075,5,9457,155766.78,135044.594827586,50.52316298620689,4.4513180172413795,LES BONS VILLERS-MELLET
53014,5,19856,109941.041333333,124238.73300000001,50.43244088,3.80925276,BOUSSU
53020,5,16716,108505.7503125,120037.8196875,50.392750553125,3.781766746875,DOUR
53028,5,21878,115997.79866666699,121090.21966666699,50.4021760633333,3.88842644333333,FRAMERIES
53039,5,6828,103831.064,124816.19266666699,50.431690746666696,3.71741995333333,HENSIES
53044,5,10417,117362.87617647099,134738.372941176,50.528121494117606,3.90482415588235,JURBISE
53046,5,4508,117432.265952381,140114.276428571,50.5705867809524,3.9087171285714306,LENS
53053,5,95299,120941.579281046,127125.91859477099,50.4515346235294,3.95589956078431,MONS
53065,5,19006,113805.23300000001,125359.1916,50.44465808,3.8607686,QUAREGNON
53068,5,6759,101978.993666667,121031.27033333301,50.398671413333304,3.69239044,QUIEVRAIN
53070,5,23335,109819.42712963,129994.236851852,50.4807025814815,3.80589663703704,SAINT-GHISLAIN
53082,5,20762,112841.3392,122226.2144,50.414957824,3.84166128,COLFONTAINE-WASMES
53083,5,5139,104526.849230769,116347.647692308,50.3597570769231,3.72337908461538,HONNELLES-ROISIN
53084,5,8105,120084.548103448,117474.999137931,50.3673093310345,3.9385469103448303,QUEVY
54007,5,58234,69931.5088333333,159164.061333333,50.7380200666667,3.23864747166667,MOUSCRON
54010,5,18063,49628.2001219512,161139.549390244,50.743896241463396,2.91459287317073,COMINES
55004,5,21649,134794.195121951,145251.0,50.6183017829268,4.1539272804878,BRAINE-LE-COMTE
55010,5,13734,126778.216,153152.47,50.692204236,4.048787448,ENGHIEN
55022,5,80637,135354.98279661,129197.148644068,50.47425185593221,4.16031796779661,LA LOUVIERE
55023,5,18552,112628.97571428599,155518.594285714,50.709267664285704,3.83900565714286,LESSINES
55035,5,8617,131228.1195,131853.427,50.48932552,4.0986517,LE ROEULX
55039,5,8407,120302.541071429,149074.98428571402,50.6520566928571,3.94166715,SILLY
55040,5,27603,126793.079313725,139022.885294118,50.563357637254896,4.04364381764706,SOIGNIES
55050,5,11135,136408.604166667,138994.2125,50.558339920833305,4.165996325,ECAUSSINES
56001,5,12254,142972.248235294,121711.341764706,50.406040000000004,4.28394,ANDERLUES
56005,5,7137,141717.365227273,102958.569318182,50.2370173090909,4.24818296590909,BEAUMONT
56011,5,33598,136400.467461538,122656.485384615,50.4147904876923,4.16794789538462,BINCHE
56016,5,9841,146926.77960199,80529.501840796,50.0354124074627,4.33480293880597,CHIMAY
56022,5,9940,133387.876,110517.104,50.30563897,4.13532148,ERQUELINNES
56029,5,3953,147937.585909091,95906.58454545449,50.1773272818182,4.33217305,FROIDCHAPELLE
56044,5,5862,141485.83444444402,116045.915555556,50.353800188888904,4.24166217777778,LOBBES
56049,5,4251,137098.114,112875.57733333301,50.32669724,4.18496406,MERBES-LE-CHATEAU
56051,5,5309,138958.323478261,77574.08043478259,50.01441899130429,4.216447917391299,MOMIGNIES
56078,5,14671,145502.370444444,112988.498222222,50.3236263466667,4.30578014,THUIN
56085,5,7715,130954.328125,119157.2246875,50.389893825,4.09828455,ESTINNES
56086,5,13529,153401.683333333,113287.092555556,50.3350936911111,4.40853727111111,HAM
56087,5,19019,141210.631666667,126600.108333333,50.4459963633333,4.24802074666667,MORLANWELZ
56088,5,4833,138148.67730769198,94319.2996153846,50.16908726153849,4.19138152692308,SIVRY
57003,5,7760,85777.4275,139273.818333333,50.5617916583333,3.4631156,ANTOING
57018,5,5665,84643.1342105263,155511.772631579,50.6591156526316,3.60956528421053,CELLES
57027,5,10424,73469.2333333333,153424.77285714302,50.686794357142894,3.28800657619048,ESTAIMPUIS
57062,5,5598,78367.9965384615,153106.416153846,50.6878045076923,3.35430918461538,PECQ
57064,5,17113,92945.80490740741,135308.983611111,50.5243273703704,3.56349938148148,PERUWELZ
57072,5,5186,75609.5026666667,137396.27800000002,50.5453235466667,3.31958558,RUMES
57081,5,69554,81256.2759302326,145265.59880814,50.612258526744206,3.40074476162791,TOURNAI
57093,5,8105,81578.49,135325.468225806,50.524837016129,3.40357061935484,BRUNEHAUT-BLEHARIES
57094,5,13886,97446.8647959184,143168.103061224,50.597666416326504,3.6289110612244904,LEUZE-EN-HAINAUT
57095,5,3720,88846.1586666667,159637.35,50.7420489466667,3.5072099933333303,MONT-DE-L'ENCLUS-AMOUGIES
61003,6,14305,216491.843125,138034.025104167,50.5485003375,5.3046336125,AMAY
61010,6,3236,202137.46600000001,141499.467333333,50.56998032,5.09502982,BURDINNE
61012,6,4617,218210.7,123150.5275,50.4118641916667,5.33011031666667,CLAVIER
61019,6,4918,238413.4890625,122183.543125,50.399091003125,5.601619346875,FERRIERES
61024,6,3872,234099.737333333,126093.36133333301,50.43693182,5.54181592666667,HAMOIR
61028,6,5277,202605.9775,136844.093863636,50.5415701681818,5.10703318636364,HERON
61031,6,21293,210664.773333333,134145.33375,50.5143799541667,5.22266188958333,HUY
61039,6,5460,211780.69411764698,129569.62235294099,50.46046594705879,5.24323770588235,MARCHIN
61041,6,4200,216436.073095238,130461.564285714,50.4788808428571,5.3102718238095195,MODAVE
61043,6,5826,223618.24346153802,134395.195769231,50.5174386,5.39692623076923,NANDRIN
61048,6,2802,227348.585,126750.58833333301,50.445524675,5.459230825,OUFFET
61063,6,4177,216562.486363636,144518.57363636402,50.6051044272727,5.30694344545455,VERLAINE
61068,6,6503,212397.278421053,142369.498947368,50.5927932368421,5.24931904210526,VILLERS-LE-BOUILLET
61072,6,13576,209023.15902777802,137455.734444444,50.547063200000004,5.20697954166667,WANZE
61079,6,4204,230158.896875,132089.89625,50.49181345,5.49553165625,ANTHISNES
61080,6,6122,222212.26695652198,140103.86260869598,50.5671816173913,5.39808673913043,ENGIS
61081,6,2709,221860.432857143,130272.86428571401,50.47282406428571,5.377679157142861,TINLOT
62003,6,28238,231026.7325,151615.9709375,50.6674326,5.51886628125,ANS
62006,6,9353,227240.490196078,153333.115686275,50.68234491176471,5.456164294117651,AWANS
62009,6,12405,244118.57533333302,128848.603555556,50.4674697466667,5.689158328888889,AYWAILLE
62011,6,8986,236971.5632,162329.9072,50.763750812,5.601115924,BASSENGE
62015,6,12019,241452.073,147450.8625,50.630221975,5.663538345,BEYNE-HEUSAY
62022,6,20935,239265.123977273,142153.427727273,50.5910258977273,5.63015532954545,CHAUDFONTAINE
62026,6,5381,236283.678125,130989.451875,50.5027936,5.557939225,COMBLAIN
62027,6,7412,247819.76899999997,157619.48333333302,50.722418512,5.7508077,DALHEM
62032,6,12889,235927.17416666698,138026.58694444402,50.546310827777795,5.57133156111111,ESNEUX
62038,6,16495,243006.248108108,145754.814054054,50.6175928513514,5.68426422162162,FLERON
62051,6,39958,237873.144070513,152349.66455128198,50.671831065384595,5.6145114153846105,HERSTAL
62060,6,9288,233014.08795238103,156212.903190476,50.7120405371429,5.546942902857139,JUPRELLE
62063,6,197355,236455.09558659198,147832.350614525,50.6341910558659,5.59176213687151,LIEGE
62079,6,25297,240279.12829457398,157328.829767442,50.717407725581396,5.64953681860465,OUPEYE
62093,6,24251,231966.766363636,147444.087272727,50.627032645454506,5.52239332272727,SAINT
62096,6,64270,231128.670857143,143329.447,50.5913876214286,5.5100424757142905,SERAING
62099,6,16888,246346.770897436,147411.205512821,50.6334171205128,5.728548582051281,SOUMAGNE
62100,6,14645,241685.72490566,135070.085471698,50.5203544056604,5.67225888113208,SPRIMONT
62108,6,17767,243290.97797619,158162.494880952,50.7247001428571,5.68939977619048,VISE
62118,6,22541,227034.71841463397,147878.233292683,50.6316221853659,5.45730362195122,GRACE
62119,6,13300,244372.6540625,151923.079375,50.6742921375,5.705151975,BLEGNY-TREMBLEUR
62120,6,26174,226191.225487805,143833.55097561,50.597397906097605,5.44427433170732,FLEMALLE
62121,6,9934,229329.783703704,137456.619259259,50.5446814740741,5.485501844444441,NEUPRE-NEUVILLE-EN-CONDROZ
62122,6,8172,244335.25388888898,140966.573703704,50.5777498407407,5.710198944444441,TROOZ-FORET
63001,6,5480,278422.32628205104,116871.21769230801,50.34848096923079,6.1892327153846205,AMEL
63003,6,4221,255113.196666667,155825.545555556,50.702129600000006,5.8592295,AUBEL
63004,6,4434,264708.335384615,146831.863076923,50.6231663769231,5.9855683307692304,BAELEN
63012,6,5473,288316.622142857,119493.058035714,50.382716171428605,6.29970428571429,BULLINGEN
63013,6,5605,280003.549047619,128431.999047619,50.4398279,6.2107954571428605,BUTGENBACH
63020,6,15405,255830.776842105,145407.375789474,50.61185144210529,5.86841703157895,DISON
63023,6,19526,268693.449848485,147937.16863636402,50.6285651909091,6.03860625454545,EUPEN
63035,6,17598,251100.21844444398,148544.708444444,50.6398430866667,5.808551748888889,HERVE
63038,6,8590,261709.62689655198,137165.172758621,50.535669717241404,5.947348551724139,JALHAY
63040,6,11061,266636.312777778,157405.603333333,50.714353238888904,6.01869431666667,KELMIS
63045,6,3601,251288.577297297,111403.58027027,50.2970769486486,5.77584037297297,LIERNEUX
63046,6,5939,260969.055789474,145848.02210526302,50.619153068421,5.9384440000000005,LIMBOURG
63048,6,5695,265811.816875,153070.33125,50.6804488875,6.0156632000000005,LONTZEN
